time,open,high,low,close,tick_volume,spread,real_volume
2024-01-01,2064.593,2066.002,2062.633,2063.543,1988,377,0
2024-01-02,2063.608,2078.877,2056.099,2059.476,101377,199,0
2024-01-03,2059.578,2065.974,2030.537,2042.666,121015,199,0
2024-01-04,2042.927,2050.971,2036.178,2043.865,97274,199,0
2024-01-05,2044.187,2063.993,2024.389,2045.474,128655,199,0
2024-01-07,2044.635,2045.574,2042.912,2044.207,2605,200,0
2024-01-08,2044.212,2046.581,2016.652,2030.438,111552,199,0
2024-01-09,2030.409,2041.97,2026.015,2030.401,106811,199,0
2024-01-10,2030.403,2040.3,2020.353,2026.358,102690,199,0
2024-01-11,2026.413,2048.118,2013.209,2034.954,134778,199,0
2024-01-12,2035.012,2062.284,2030.026,2049.032,119608,199,0
2024-01-14,2048.13,2048.705,2046.294,2047.586,2671,199,0
2024-01-15,2047.652,2058.626,2045.752,2053.841,73448,199,0
2024-01-16,2053.867,2054.507,2024.185,2027.824,127488,199,0
2024-01-17,2028.1,2032.935,2001.761,2009.243,121646,199,0
2024-01-18,2009.261,2024.233,2005.717,2023.423,100578,199,0
2024-01-19,2023.793,2039.258,2020.307,2029.452,91592,199,0
2024-01-21,2028.529,2028.562,2026.843,2027.505,2801,199,0
2024-01-22,2027.49,2032.074,2016.399,2020.552,95486,199,0
2024-01-23,2020.71,2037.899,2019.559,2029.137,96170,199,0
2024-01-24,2029.002,2036.593,2011.138,2016.101,105299,199,0
2024-01-25,2016.247,2025.271,2009.361,2020.248,98939,199,0
2024-01-26,2020.356,2026.819,2015.867,2018.469,84350,199,0
2024-01-28,2023.424,2028.615,2021.186,2021.831,5027,199,0
2024-01-29,2021.832,2037.561,2019.282,2030.73,90077,199,0
2024-01-30,2030.962,2048.558,2029.029,2036.234,98658,199,0
2024-01-31,2036.4,2055.979,2030.808,2039.786,126350,199,0
2024-02-01,2039.734,2065.458,2029.913,2054.624,120537,199,0
2024-02-02,2054.631,2057.623,2027.741,2039.609,109074,199,0
2024-02-04,2041.781,2042.213,2039.061,2039.715,3233,199,0
2024-02-05,2039.299,2039.819,2014.818,2024.86,98435,199,0
2024-02-06,2024.809,2038.88,2022.802,2035.069,90032,199,0
2024-02-07,2035.25,2044.516,2030.519,2036.228,83980,199,0
2024-02-08,2036.224,2038.687,2020.124,2034.124,89742,199,0
2024-02-09,2034.147,2037.184,2020.233,2024.192,82433,199,0
