time,open,high,low,close,tick_volume,spread,real_volume
2022-08-01 00:00:00,133.367,133.406,132.059,132.579,24923,11,0
2022-08-01 04:00:00,132.577,132.642,132.094,132.547,14444,8,0
2022-08-01 08:00:00,132.55,132.661,131.866,132.414,20762,8,0
2022-08-01 12:00:00,132.412,132.501,131.599,131.817,26880,8,0
2022-08-01 16:00:00,131.814,131.986,131.621,131.641,6720,8,0
2022-08-01 20:00:00,131.613,131.699,131.371,131.401,4599,11,0
2022-08-02 00:00:00,131.399,131.522,130.391,130.839,26659,8,0
2022-08-02 04:00:00,130.842,131.087,130.424,130.823,18490,8,0
2022-08-02 08:00:00,130.826,131.174,130.697,130.988,15265,8,0
2022-08-02 12:00:00,130.985,132.388,130.639,132.304,36122,8,0
2022-08-02 16:00:00,132.304,133.077,132.126,133.068,16542,8,0
2022-08-02 20:00:00,133.006,133.598,132.826,133.34,7702,11,0
2022-08-03 00:00:00,133.338,133.898,132.55,132.602,22273,11,0
2022-08-03 04:00:00,132.604,133.411,132.282,133.213,26455,8,0
2022-08-03 08:00:00,133.212,133.53,132.955,133.464,17120,8,0
2022-08-03 12:00:00,133.467,134.544,133.451,134.2,30079,8,0
2022-08-03 16:00:00,134.198,134.204,133.755,133.941,10240,8,0
2022-08-03 20:00:00,133.913,134.136,133.774,133.928,3261,11,0
2022-08-04 00:00:00,133.926,133.96,133.417,133.786,15130,11,0
2022-08-04 04:00:00,133.787,134.298,133.666,134.151,13571,8,0
2022-08-04 08:00:00,134.151,134.418,133.715,133.787,15819,8,0
2022-08-04 12:00:00,133.785,133.861,133.049,133.279,30097,8,0
2022-08-04 16:00:00,133.281,133.308,132.759,132.87,10000,8,0
2022-08-04 20:00:00,132.809,133.115,132.518,132.615,5701,11,0
2022-08-05 00:00:00,132.617,133.356,132.569,133.221,15518,11,0
2022-08-05 04:00:00,133.222,133.469,133.095,133.3,11297,8,0
2022-08-05 08:00:00,133.298,133.315,132.839,133.142,12663,8,0
2022-08-05 12:00:00,133.139,135.498,133.078,135.301,41419,8,0
2022-08-05 16:00:00,135.303,135.402,134.858,135.04,10462,8,0
2022-08-05 20:00:00,134.98,135.023,134.905,134.982,692,43,0
2022-08-07 20:00:00,134.982,135.276,134.906,135.058,3773,11,0
2022-08-08 00:00:00,135.06,135.578,135.029,135.116,15512,11,0
2022-08-08 04:00:00,135.118,135.459,134.908,134.987,11781,8,0
2022-08-08 08:00:00,134.989,135.2,134.597,134.794,12031,8,0
2022-08-08 12:00:00,134.796,134.995,134.348,134.724,17888,8,0
2022-08-08 16:00:00,134.724,135.106,134.59,135.071,4858,8,0
2022-08-08 20:00:00,135.055,135.055,134.811,134.834,2610,11,0
2022-08-09 00:00:00,134.836,135.043,134.663,134.924,9408,11,0
2022-08-09 04:00:00,134.925,135.152,134.827,134.884,7352,8,0
2022-08-09 08:00:00,134.883,135.085,134.711,135.074,10076,8,0
2022-08-09 12:00:00,135.076,135.185,134.85,134.95,10816,8,0
2022-08-09 16:00:00,134.951,135.197,134.918,135.118,3244,8,0
2022-08-09 20:00:00,135.084,135.195,135.029,135.191,2259,11,0
2022-08-10 00:00:00,135.192,135.299,134.916,134.946,7103,11,0
2022-08-10 04:00:00,134.944,135.094,134.888,134.944,5313,8,0
2022-08-10 08:00:00,134.942,135.046,134.798,134.81,6956,8,0
2022-08-10 12:00:00,134.808,135.09,132.025,132.572,58368,8,0
2022-08-10 16:00:00,132.57,133.069,132.347,132.908,13483,8,0
2022-08-10 20:00:00,132.879,132.932,132.677,132.81,2276,11,0
2022-08-11 00:00:00,132.808,133.307,132.601,133.157,9028,11,0
2022-08-11 04:00:00,133.159,133.191,132.425,132.432,12171,8,0
2022-08-11 08:00:00,132.433,132.704,132.288,132.37,10819,8,0
2022-08-11 12:00:00,132.372,132.885,131.732,132.678,32652,8,0
2022-08-11 16:00:00,132.68,133.131,132.603,133.112,8394,8,0
2022-08-11 20:00:00,133.075,133.112,132.832,133.008,2564,11,0
2022-08-12 00:00:00,133.009,133.489,132.899,133.277,10630,11,0
