time,open,high,low,close,tick_volume,spread,real_volume
2022-08-01 00:00:00,133.367,133.406,132.804,132.969,3041,11,0
2022-08-01 00:30:00,132.971,133.079,132.759,132.875,3294,11,0
2022-08-01 01:00:00,132.877,132.966,132.059,132.256,7913,11,0
2022-08-01 01:30:00,132.259,132.482,132.259,132.419,3935,11,0
2022-08-01 02:00:00,132.417,132.476,132.236,132.433,2083,11,0
2022-08-01 02:30:00,132.435,132.485,132.378,132.402,1088,11,0
2022-08-01 03:00:00,132.401,132.759,132.388,132.683,2371,11,0
2022-08-01 03:30:00,132.681,132.696,132.534,132.579,1198,11,0
2022-08-01 04:00:00,132.577,132.642,132.332,132.472,1630,11,0
2022-08-01 04:30:00,132.47,132.623,132.414,132.596,1271,11,0
2022-08-01 05:00:00,132.596,132.626,132.487,132.532,1132,8,0
2022-08-01 05:30:00,132.53,132.606,132.425,132.55,1577,8,0
2022-08-01 06:00:00,132.548,132.604,132.489,132.51,1731,8,0
2022-08-01 06:30:00,132.508,132.571,132.211,132.287,1969,8,0
2022-08-01 07:00:00,132.287,132.358,132.094,132.341,2751,8,0
2022-08-01 07:30:00,132.339,132.588,132.3,132.547,2383,8,0
2022-08-01 08:00:00,132.55,132.661,132.441,132.5,2284,8,0
2022-08-01 08:30:00,132.499,132.51,132.297,132.341,1768,8,0
2022-08-01 09:00:00,132.342,132.412,132.197,132.247,2238,8,0
2022-08-01 09:30:00,132.246,132.247,131.866,132.017,4504,8,0
2022-08-01 10:00:00,132.016,132.082,131.876,132.044,2696,8,0
2022-08-01 10:30:00,132.046,132.25,131.947,132.24,2680,8,0
2022-08-01 11:00:00,132.241,132.383,132.192,132.348,2124,8,0
2022-08-01 11:30:00,132.346,132.492,132.257,132.414,2468,8,0
2022-08-01 12:00:00,132.412,132.501,132.211,132.288,2047,8,0
2022-08-01 12:30:00,132.286,132.297,132.05,132.05,2408,8,0
2022-08-01 13:00:00,132.049,132.09,131.809,131.947,4302,8,0
2022-08-01 13:30:00,131.944,132.003,131.848,131.953,2979,8,0
2022-08-01 14:00:00,131.961,132.387,131.881,131.961,6151,8,0
2022-08-01 14:30:00,131.958,131.993,131.714,131.801,3951,8,0
2022-08-01 15:00:00,131.8,131.93,131.599,131.722,2951,8,0
2022-08-01 15:30:00,131.72,131.819,131.599,131.817,2091,8,0
2022-08-01 16:00:00,131.814,131.888,131.779,131.88,1358,8,0
2022-08-01 16:30:00,131.878,131.889,131.719,131.759,746,8,0
2022-08-01 17:00:00,131.756,131.936,131.737,131.909,818,8,0
2022-08-01 17:30:00,131.907,131.933,131.822,131.918,767,8,0
2022-08-01 18:00:00,131.919,131.986,131.915,131.945,633,8,0
2022-08-01 18:30:00,131.942,131.96,131.787,131.799,575,8,0
2022-08-01 19:00:00,131.801,131.844,131.646,131.649,966,8,0
2022-08-01 19:30:00,131.65,131.721,131.621,131.641,857,8,0
2022-08-01 20:00:00,131.613,131.641,131.561,131.602,284,43,0
2022-08-01 20:30:00,131.6,131.614,131.545,131.546,192,43,0
2022-08-01 21:00:00,131.556,131.65,131.556,131.586,84,83,0
2022-08-01 21:30:00,131.585,131.636,131.585,131.635,149,43,0
2022-08-01 22:00:00,131.62,131.699,131.558,131.634,483,43,0
2022-08-01 22:30:00,131.638,131.675,131.426,131.54,713,43,0
2022-08-01 23:00:00,131.556,131.675,131.507,131.544,1105,11,0
2022-08-01 23:30:00,131.542,131.663,131.371,131.401,1589,11,0
2022-08-02 00:00:00,131.399,131.522,130.968,131.031,6236,11,0
2022-08-02 00:30:00,131.03,131.121,130.58,130.935,6973,11,0
2022-08-02 01:00:00,130.932,130.967,130.73,130.742,2558,8,0
2022-08-02 01:30:00,130.743,130.76,130.391,130.682,3992,8,0
2022-08-02 02:00:00,130.679,130.791,130.543,130.687,1823,8,0
2022-08-02 02:30:00,130.686,130.759,130.564,130.668,1743,8,0
2022-08-02 03:00:00,130.67,130.948,130.635,130.866,1987,8,0
2022-08-02 03:30:00,130.867,130.941,130.784,130.839,1347,8,0
2022-08-02 04:00:00,130.842,130.849,130.721,130.803,1063,8,0
2022-08-02 04:30:00,130.806,130.859,130.718,130.718,1315,8,0
2022-08-02 05:00:00,130.716,130.72,130.424,130.474,2097,8,0
2022-08-02 05:30:00,130.473,130.699,130.461,130.647,1542,8,0
2022-08-02 06:00:00,130.645,131.087,130.632,130.911,3215,8,0
2022-08-02 06:30:00,130.909,130.925,130.725,130.859,2521,8,0
2022-08-02 07:00:00,130.861,130.944,130.66,130.841,3550,8,0
2022-08-02 07:30:00,130.844,130.889,130.73,130.823,3187,8,0
2022-08-02 08:00:00,130.826,131.115,130.781,131.103,3076,8,0
2022-08-02 08:30:00,131.1,131.174,130.868,130.869,2570,8,0
2022-08-02 09:00:00,130.869,131.049,130.805,130.828,2080,8,0
2022-08-02 09:30:00,130.827,130.876,130.697,130.799,1786,8,0
2022-08-02 10:00:00,130.801,130.967,130.796,130.877,1119,8,0
2022-08-02 10:30:00,130.875,131.007,130.818,130.989,1151,8,0
2022-08-02 11:00:00,130.987,131.008,130.853,130.918,1545,8,0
2022-08-02 11:30:00,130.916,131.055,130.87,130.988,1938,8,0
2022-08-02 12:00:00,130.985,131.075,130.714,130.728,2719,8,0
2022-08-02 12:30:00,130.725,130.862,130.639,130.748,3244,8,0
2022-08-02 13:00:00,130.746,131.297,130.697,131.25,4966,8,0
2022-08-02 13:30:00,131.247,131.489,131.037,131.402,5617,8,0
2022-08-02 14:00:00,131.404,131.601,131.305,131.508,5570,8,0
2022-08-02 14:30:00,131.51,131.809,131.454,131.722,5918,8,0
2022-08-02 15:00:00,131.72,131.892,131.693,131.842,4469,8,0
2022-08-02 15:30:00,131.844,132.388,131.801,132.304,3619,8,0
2022-08-02 16:00:00,132.304,132.391,132.126,132.154,3044,8,0
2022-08-02 16:30:00,132.154,132.325,132.152,132.249,1461,8,0
2022-08-02 17:00:00,132.251,132.743,132.211,132.696,2471,8,0
2022-08-02 17:30:00,132.693,132.923,132.68,132.779,3244,8,0
